,시점,시군별(1),시군별(2),인구현황별(1),인구현황별(2),데이터
2752,2018,북부,파주시,인구밀도 (명/㎢),소계,688.0
2753,2018,북부,파주시,인구밀도면적 (㎢),소계,673.2
2754,2018,북부,양주시,세대수 (세대),소계,89088.0
2755,2018,북부,양주시,등록인구 (명),소계,224250.0
2756,2018,북부,양주시,등록인구 (명),남자,115483.0
2757,2018,북부,양주시,등록인구 (명),여자,108767.0
2758,2018,북부,양주시,한국인 (명),소계,216951.0
2759,2018,북부,양주시,한국인 (명),남자,109978.0
2760,2018,북부,양주시,한국인 (명),여자,106973.0
2761,2018,북부,양주시,외국인 (명),소계,7299.0
2762,2018,북부,양주시,외국인 (명),남자,5505.0
2763,2018,북부,양주시,외국인 (명),여자,1794.0
2764,2018,북부,양주시,세대당 인구 (명),소계,2.44
2765,2018,북부,양주시,65세이상 고령자 (명),소계,31181.0
2766,2018,북부,양주시,65세이상 고령자 (명),한국인,31121.0
2767,2018,북부,양주시,65세이상 고령자 (명),외국인,60.0
2768,2018,북부,양주시,평균연령 (세),소계,41.6
2769,2018,북부,양주시,인구밀도 (명/㎢),소계,723.0
2770,2018,북부,양주시,인구밀도면적 (㎢),소계,310.3
2771,2018,북부,포천시,세대수 (세대),소계,69429.0
2772,2018,북부,포천시,등록인구 (명),소계,163474.0
2773,2018,북부,포천시,등록인구 (명),남자,89286.0
2774,2018,북부,포천시,등록인구 (명),여자,74188.0
2775,2018,북부,포천시,한국인 (명),소계,150676.0
2776,2018,북부,포천시,한국인 (명),남자,79310.0
2777,2018,북부,포천시,한국인 (명),여자,71366.0
2778,2018,북부,포천시,외국인 (명),소계,12798.0
2779,2018,북부,포천시,외국인 (명),남자,9976.0
2780,2018,북부,포천시,외국인 (명),여자,2822.0
2781,2018,북부,포천시,세대당 인구 (명),소계,2.17
2782,2018,북부,포천시,65세이상 고령자 (명),소계,26370.0
2783,2018,북부,포천시,65세이상 고령자 (명),한국인,26306.0
2784,2018,북부,포천시,65세이상 고령자 (명),외국인,64.0
2785,2018,북부,포천시,평균연령 (세),소계,45.0
2786,2018,북부,포천시,인구밀도 (명/㎢),소계,198.0
2787,2018,북부,포천시,인구밀도면적 (㎢),소계,826.7
2788,2018,북부,연천군,세대수 (세대),소계,21526.0
2789,2018,북부,연천군,등록인구 (명),소계,45606.0
2790,2018,북부,연천군,등록인구 (명),남자,24066.0
2791,2018,북부,연천군,등록인구 (명),여자,21540.0
2792,2018,북부,연천군,한국인 (명),소계,44633.0
2793,2018,북부,연천군,한국인 (명),남자,23364.0
2794,2018,북부,연천군,한국인 (명),여자,21269.0
2795,2018,북부,연천군,외국인 (명),소계,973.0
2796,2018,북부,연천군,외국인 (명),남자,702.0
2797,2018,북부,연천군,외국인 (명),여자,271.0
2798,2018,북부,연천군,세대당 인구 (명),소계,2.07
2799,2018,북부,연천군,65세이상 고령자 (명),소계,10623.0
2800,2018,북부,연천군,65세이상 고령자 (명),한국인,10611.0
2801,2018,북부,연천군,65세이상 고령자 (명),외국인,12.0
2802,2018,북부,연천군,평균연령 (세),소계,47.0
2803,2018,북부,연천군,인구밀도 (명/㎢),소계,67.0
2804,2018,북부,연천군,인구밀도면적 (㎢),소계,676.3
2805,2018,북부,가평군,세대수 (세대),소계,30359.0
2806,2018,북부,가평군,등록인구 (명),소계,63936.0
2807,2018,북부,가평군,등록인구 (명),남자,32716.0
2808,2018,북부,가평군,등록인구 (명),여자,31220.0
2809,2018,북부,가평군,한국인 (명),소계,62918.0
2810,2018,북부,가평군,한국인 (명),남자,32288.0
2811,2018,북부,가평군,한국인 (명),여자,30630.0
2812,2018,북부,가평군,외국인 (명),소계,1018.0
2813,2018,북부,가평군,외국인 (명),남자,428.0
2814,2018,북부,가평군,외국인 (명),여자,590.0
2815,2018,북부,가평군,세대당 인구 (명),소계,2.07
2816,2018,북부,가평군,65세이상 고령자 (명),소계,14837.0
2817,2018,북부,가평군,65세이상 고령자 (명),한국인,14802.0
2818,2018,북부,가평군,65세이상 고령자 (명),외국인,35.0
2819,2018,북부,가평군,평균연령 (세),소계,48.1
2820,2018,북부,가평군,인구밀도 (명/㎢),소계,76.0
2821,2018,북부,가평군,인구밀도면적 (㎢),소계,843.3
