,시점,시군별(1),시군별(2),인구현황별(1),인구현황별(2),데이터
2370,2018,남부,평택시,외국인 (명),소계,23030.0
2371,2018,남부,평택시,외국인 (명),남자,13676.0
2372,2018,남부,평택시,외국인 (명),여자,9354.0
2373,2018,남부,평택시,세대당 인구 (명),소계,2.31
2374,2018,남부,평택시,65세이상 고령자 (명),소계,58837.0
2375,2018,남부,평택시,65세이상 고령자 (명),한국인,58483.0
2376,2018,남부,평택시,65세이상 고령자 (명),외국인,354.0
2377,2018,남부,평택시,평균연령 (세),소계,40.0
2378,2018,남부,평택시,인구밀도 (명/㎢),소계,1132.0
2379,2018,남부,평택시,인구밀도면적 (㎢),소계,458.3
2380,2018,남부,안산시,세대수 (세대),소계,276662.0
2381,2018,남부,안산시,등록인구 (명),소계,717130.0
2382,2018,남부,안산시,등록인구 (명),남자,371585.0
2383,2018,남부,안산시,등록인구 (명),여자,345545.0
2384,2018,남부,안산시,한국인 (명),소계,660343.0
2385,2018,남부,안산시,한국인 (명),남자,338701.0
2386,2018,남부,안산시,한국인 (명),여자,321642.0
2387,2018,남부,안산시,외국인 (명),소계,56787.0
2388,2018,남부,안산시,외국인 (명),남자,32884.0
2389,2018,남부,안산시,외국인 (명),여자,23903.0
2390,2018,남부,안산시,세대당 인구 (명),소계,2.39
2391,2018,남부,안산시,65세이상 고령자 (명),소계,63275.0
2392,2018,남부,안산시,65세이상 고령자 (명),한국인,62654.0
2393,2018,남부,안산시,65세이상 고령자 (명),외국인,621.0
2394,2018,남부,안산시,평균연령 (세),소계,39.9
2395,2018,남부,안산시,인구밀도 (명/㎢),소계,4608.0
2396,2018,남부,안산시,인구밀도면적 (㎢),소계,155.6
2397,2018,남부,과천시,세대수 (세대),소계,21205.0
2398,2018,남부,과천시,등록인구 (명),소계,58325.0
2399,2018,남부,과천시,등록인구 (명),남자,28516.0
2400,2018,남부,과천시,등록인구 (명),여자,29809.0
2401,2018,남부,과천시,한국인 (명),소계,58142.0
2402,2018,남부,과천시,한국인 (명),남자,28423.0
2403,2018,남부,과천시,한국인 (명),여자,29719.0
2404,2018,남부,과천시,외국인 (명),소계,183.0
2405,2018,남부,과천시,외국인 (명),남자,93.0
2406,2018,남부,과천시,외국인 (명),여자,90.0
2407,2018,남부,과천시,세대당 인구 (명),소계,2.74
2408,2018,남부,과천시,65세이상 고령자 (명),소계,7774.0
2409,2018,남부,과천시,65세이상 고령자 (명),한국인,7762.0
2410,2018,남부,과천시,65세이상 고령자 (명),외국인,12.0
2411,2018,남부,과천시,평균연령 (세),소계,41.5
2412,2018,남부,과천시,인구밀도 (명/㎢),소계,1626.0
2413,2018,남부,과천시,인구밀도면적 (㎢),소계,35.9
2414,2018,남부,오산시,세대수 (세대),소계,89860.0
2415,2018,남부,오산시,등록인구 (명),소계,229520.0
2416,2018,남부,오산시,등록인구 (명),남자,118245.0
2417,2018,남부,오산시,등록인구 (명),여자,111275.0
2418,2018,남부,오산시,한국인 (명),소계,220070.0
2419,2018,남부,오산시,한국인 (명),남자,113237.0
2420,2018,남부,오산시,한국인 (명),여자,106833.0
2421,2018,남부,오산시,외국인 (명),소계,9450.0
2422,2018,남부,오산시,외국인 (명),남자,5008.0
2423,2018,남부,오산시,외국인 (명),여자,4442.0
2424,2018,남부,오산시,세대당 인구 (명),소계,2.45
2425,2018,남부,오산시,65세이상 고령자 (명),소계,18690.0
2426,2018,남부,오산시,65세이상 고령자 (명),한국인,18589.0
2427,2018,남부,오산시,65세이상 고령자 (명),외국인,101.0
2428,2018,남부,오산시,평균연령 (세),소계,37.1
2429,2018,남부,오산시,인구밀도 (명/㎢),소계,5373.0
2430,2018,남부,오산시,인구밀도면적 (㎢),소계,42.7
2431,2018,남부,시흥시,세대수 (세대),소계,181061.0
2432,2018,남부,시흥시,등록인구 (명),소계,483327.0
2433,2018,남부,시흥시,등록인구 (명),남자,255608.0
2434,2018,남부,시흥시,등록인구 (명),여자,227719.0
2435,2018,남부,시흥시,한국인 (명),소계,448687.0
2436,2018,남부,시흥시,한국인 (명),남자,234840.0
2437,2018,남부,시흥시,한국인 (명),여자,213847.0
2438,2018,남부,시흥시,외국인 (명),소계,34640.0
2439,2018,남부,시흥시,외국인 (명),남자,20768.0
2440,2018,남부,시흥시,외국인 (명),여자,13872.0
2441,2018,남부,시흥시,세대당 인구 (명),소계,2.48
2442,2018,남부,시흥시,65세이상 고령자 (명),소계,37781.0
2443,2018,남부,시흥시,65세이상 고령자 (명),한국인,37552.0
2444,2018,남부,시흥시,65세이상 고령자 (명),외국인,229.0
2445,2018,남부,시흥시,평균연령 (세),소계,38.6
2446,2018,남부,시흥시,인구밀도 (명/㎢),소계,3486.0
2447,2018,남부,시흥시,인구밀도면적 (㎢),소계,138.7
2448,2018,남부,군포시,세대수 (세대),소계,107548.0
2449,2018,남부,군포시,등록인구 (명),소계,283876.0
2450,2018,남부,군포시,등록인구 (명),남자,141238.0
2451,2018,남부,군포시,등록인구 (명),여자,142638.0
2452,2018,남부,군포시,한국인 (명),소계,276916.0
2453,2018,남부,군포시,한국인 (명),남자,137536.0
2454,2018,남부,군포시,한국인 (명),여자,139380.0
